mph Wind Speed,Deg Wind Direc,Deg F Av Air Temp,% Rel Humidty,volts Battery Voltage,Deg Dir MxGust,mph Mx Gust Speed,ly Solar Rad.,Deg F Mn Air Temp,Deg F Mx Air Temp,"Deg F 2"" Soil Ave Tmp","Deg F 4"" Soil Ave Tmp","Deg F 8"" Soil Av Temp","Deg F 20""Soil Av Temp"
3.835,20.66,56.93,95.2,12.56,150.0,15.05,0.014280000000000001,56.67,57.15,60.82,61.76,61.6,61.35
3.992,27.76,56.82,95.6,12.54,118.0,13.49,0.01135,56.49,57.09,60.56,61.66,61.6,61.39
4.725,35.57,56.87,96.5,12.52,81.0,17.25,0.01024,56.61,57.28,60.34,61.56,61.59,61.43
4.632,46.73,56.92,96.5,12.5,85.0,18.34,0.008171,56.48,57.34,60.16,61.45,61.56,61.43
4.186,24.2,56.49,95.9,12.48,85.0,18.19,0.009891,56.12,56.79,59.97,61.31,61.49,61.41
3.964,20.93,56.35,96.2,12.47,337.0,15.57,0.004386999999999999,56.06,56.61,59.82,61.21,61.43,61.42
3.878,38.75,56.24,96.2,12.45,81.0,17.0,0.004989,55.88,56.55,59.66,61.11,61.39,61.43
4.1339999999999995,14.76,56.26,94.1,12.44,116.0,18.86,0.006365,56.0,56.55,59.54,61.01,61.34,61.42
4.635,2.36,56.09,93.4,12.43,215.0,15.35,0.1259,55.64,56.43,59.38,60.89,61.27,61.39
5.055,4.519,56.11,88.1,12.59,289.0,16.69,7.01,55.45,57.46,59.19,60.82,61.22,61.4
4.144,5.5760000000000005,58.11,83.7,13.2,321.0,14.23,20.26,56.91,60.44,59.2,60.83,61.27,61.52
4.058,12.55,60.53,87.5,13.28,271.0,14.9,28.31,58.29,61.88,59.9,60.89,61.35,61.67
5.02,105.8,62.46,80.1,13.35,142.0,17.94,41.93,60.23,64.83,60.9,60.91,61.36,61.7
5.685,96.6,65.14,74.78,13.31,263.0,28.57,68.54,63.37,66.5,62.56,60.93,61.29,61.66
5.672999999999999,78.45,66.35,71.0,13.28,165.0,25.1,73.28,64.97,68.37,64.73,60.95,61.09,61.44
5.702000000000001,93.7,66.88,73.39,13.27,132.0,20.76,71.65,65.63,68.12,67.06,61.3,61.08,61.34
4.709,86.3,65.95,75.61,13.26,47.0,18.88,49.46,64.29,67.64,68.8,61.85,61.15,61.29
4.48,55.27,64.24,87.0,13.26,332.0,18.12,33.53,60.96,67.15,68.99,62.37,61.17,61.13
4.64,15.77,60.91,87.9,13.25,40.0,14.99,19.21,59.52,63.28,68.37,62.86,61.28,61.0
4.977,24.2,59.39,95.8,12.96,30.0,15.55,5.275,58.4,60.92,67.43,63.38,61.63,61.11
4.938,30.36,58.27,96.2,12.67,170.0,17.29,0.1433,57.79,58.7,66.26,63.7,61.99,61.26
4.619,29.92,58.07,97.0,12.63,206.0,18.95,0.004215,57.75,58.41,65.16,63.89,62.23,61.37
4.956,26.1,58.0,95.9,12.61,261.0,17.31,0.004731,57.75,58.35,64.3,63.9,62.44,61.4
4.803,33.77,58.01,95.7,12.59,173.0,19.35,0.003698,57.62,58.41,63.55,63.8,62.56,61.48
4.681,53.07,58.11,95.5,12.57,250.0,15.14,0.0061070000000000004,57.56,58.54,62.91,63.74,62.79,61.55
4.971,9.48,57.85,95.2,12.55,73.0,20.11,0.01075,57.38,58.23,62.33,63.49,62.88,61.67
4.571000000000001,32.85,57.85,95.5,12.54,193.0,16.13,0.0076549999999999995,57.26,58.17,61.86,63.18,62.95,61.89
5.693,17.09,57.32,95.5,12.52,340.0,19.57,0.009031,56.72,57.69,61.36,62.81,62.82,62.05
5.486000000000001,30.86,57.07,94.6,12.5,357.0,22.66,0.008859,56.36,57.82,60.93,62.51,62.75,62.08
5.627999999999999,7.421,56.44,95.0,12.48,171.0,24.02,0.008256999999999999,55.94,56.73,60.53,62.31,62.54,62.07
5.039,14.47,56.44,94.9,12.46,238.0,17.27,0.009375,56.0,56.85,60.2,62.15,62.44,62.07
4.904,2.639,56.38,94.5,12.45,163.0,18.97,0.006021,55.94,56.73,59.88,61.97,62.32,62.03
4.537,1.216,56.27,94.3,12.44,219.0,17.25,0.2149,55.94,56.67,59.63,61.82,62.21,62.02
5.287999999999999,9.37,56.87,93.0,12.55,123.0,20.09,5.055,56.24,57.4,59.48,61.69,62.13,62.02
4.675,14.93,57.24,94.2,12.67,3.0,18.5,7.062,56.79,57.76,59.59,61.56,62.06,62.02
5.289,5.946000000000001,58.63,89.6,13.26,265.0,16.71,27.36,57.52,60.66,60.08,61.51,62.02,62.07
4.894,8.97,60.02,92.2,13.31,254.0,16.51,26.7,58.77,61.33,61.09,61.47,61.96,62.07
5.069,18.45,59.47,93.2,13.36,107.0,17.94,25.25,58.15,60.53,61.96,61.38,61.79,61.93
4.715,1.558,58.87,91.0,13.37,104.0,14.18,23.07,58.34,59.81,62.48,61.44,61.68,61.83
4.213,12.78,58.89,93.8,13.32,177.0,12.37,16.78,58.16,60.11,62.94,61.62,61.69,61.81
4.203,4.596,58.35,93.8,13.16,309.0,15.23,8.661,57.99,58.72,63.04,61.72,61.64,61.71
4.186,7.986000000000001,58.46,92.1,13.36,160.0,11.77,12.42,57.99,59.14,62.9,61.9,61.69,61.71
4.881,12.88,58.84,92.7,13.34,221.0,17.47,10.35,58.41,59.45,62.93,62.03,61.75,61.7
5.3870000000000005,13.56,56.84,91.8,12.88,107.0,16.96,3.63,55.74,58.72,62.65,61.99,61.66,61.55
4.382,5.707000000000001,56.76,94.9,12.67,18.0,17.56,0.3932,56.3,57.09,62.12,62.14,61.82,61.65
5.36,4.186,56.39,93.0,12.63,274.0,16.2,0.009117,55.76,56.97,61.53,62.14,61.85,61.64
5.266,1.537,56.1,94.2,12.6,324.0,17.6,0.006537,55.64,56.67,60.93,62.07,61.87,61.63
4.754,15.98,56.33,94.0,12.58,153.0,15.05,0.005849,55.94,56.67,60.5,62.04,61.93,61.71
5.047,7.303999999999999,55.76,94.6,12.56,65.0,18.03,0.007397,55.21,56.18,60.12,61.84,61.85,61.66
5.129,1.909,55.36,94.1,12.54,289.0,17.2,0.007139,54.85,55.82,59.73,61.67,61.8,61.64
4.46,9.69,55.64,92.9,12.51,107.0,15.23,0.0055049999999999995,55.27,56.0,59.35,61.56,61.79,61.68
4.226,7.281000000000001,56.11,94.4,12.49,179.0,18.12,0.005677000000000001,55.76,56.43,59.06,61.43,61.76,61.72
4.5169999999999995,0.722,55.34,91.7,12.47,54.0,17.65,0.008687,54.6,56.06,58.85,61.2,61.64,61.65
4.396,3.602,54.95,93.4,12.45,93.0,16.17,0.007741,54.36,55.57,58.58,61.0,61.51,61.59
4.686,3.227,55.26,93.6,12.44,299.0,17.31,0.004645000000000001,54.85,55.64,58.34,60.91,61.49,61.66
3.9760000000000004,1.422,55.71,94.6,12.43,41.0,16.24,0.005075,55.21,56.06,58.15,60.78,61.42,61.67
4.19,11.55,55.99,95.3,12.42,107.0,18.99,0.1129,55.57,56.43,58.13,60.61,61.32,61.64
4.626,11.64,56.03,93.9,12.47,331.0,14.12,3.053,55.7,56.61,58.21,60.46,61.2,61.59
4.788,11.38,57.2,88.1,13.03,32.0,17.16,18.11,56.43,58.31,58.59,60.41,61.18,61.64
5.348,15.4,58.69,85.2,13.38,303.0,15.23,44.3,56.73,61.15,59.31,60.42,61.18,61.72
4.931,24.2,60.51,77.68,13.35,317.0,23.89,54.76,58.83,62.59,60.72,60.43,61.14,61.73
4.641,27.2,61.53,89.1,13.32,114.0,16.98,50.28,59.21,64.15,62.6,60.43,61.0,61.57
4.448,39.7,61.8,80.6,13.33,330.0,15.88,55.56,59.52,64.14,64.15,60.67,60.91,61.43
4.905,40.32,63.2,78.53,13.31,104.0,16.31,63.06,61.89,64.38,65.93,61.16,61.0,61.43
4.106,49.97,63.0,72.73,13.31,65.0,13.78,46.58,61.28,66.56,67.34,61.63,61.09,61.37
4.0169999999999995,43.81,63.24,80.8,13.3,153.0,12.59,41.24,61.95,66.26,67.82,62.16,61.21,61.32
4.148,57.47,61.5,87.8,13.3,27.0,12.03,26.1,59.58,63.83,67.83,62.48,61.23,61.12
3.793,32.46,59.25,87.6,13.23,201.0,13.02,10.9,57.67,60.31,67.3,62.84,61.4,61.07
3.32,9.07,57.39,90.3,12.73,347.0,13.49,0.4755,56.77,57.8,66.11,63.08,61.59,61.07
3.824,358.0,57.34,93.0,12.65,331.0,11.88,0.005763,56.72,58.01,64.83,63.43,61.96,61.26
3.665,22.45,57.42,93.2,12.62,10.0,14.03,0.003268,56.79,58.19,63.8,63.54,62.24,61.42
4.132,5.892,56.83,90.3,12.6,329.0,13.2,0.007311,56.12,57.46,62.91,63.35,62.26,61.37
4.2860000000000005,0.591,56.3,86.2,12.58,350.0,12.3,0.0044729999999999995,55.76,56.67,62.01,63.17,62.31,61.39
5.471,0.731,55.86,80.5,12.56,313.0,13.94,0.0012900000000000001,55.51,56.24,61.13,62.99,62.35,61.47
6.053,2.895,56.27,79.19,12.54,181.0,16.6,0.000516,55.88,56.61,60.4,62.83,62.43,61.61
5.361000000000001,0.922,55.84,74.57,12.52,289.0,13.11,0.001204,55.03,56.55,59.73,62.54,62.36,61.62
4.635,3.7489999999999997,55.83,79.63,12.5,132.0,13.31,0.0015480000000000001,55.21,56.55,59.16,62.29,62.3,61.66
2.888,0.8909999999999999,56.39,87.3,12.48,294.0,9.64,0.000688,55.88,56.73,58.79,62.06,62.26,61.76
3.114,8.98,55.32,83.8,12.47,279.0,8.57,0.00344,54.24,56.18,58.42,61.66,62.02,61.64
2.457,355.6,54.59,86.2,12.45,111.0,8.28,0.0009460000000000001,54.01,55.21,58.05,61.39,61.88,61.63
3.075,354.9,56.07,82.1,12.43,222.0,8.61,0.3434,54.63,57.1,57.83,61.33,61.93,61.81
3.182,359.8,59.77,74.13,12.71,233.0,11.03,11.81,56.97,62.32,57.97,61.29,62.0,62.05
4.6080000000000005,14.06,62.05,70.02,13.29,358.0,13.69,29.18,59.87,64.84,58.4,61.19,61.97,62.18
3.885,90.2,62.78,86.9,13.28,164.0,13.33,29.11,60.49,65.44,59.37,60.86,61.69,61.97
3.736,12.42,61.89,79.02,13.26,35.0,14.18,33.6,60.01,66.89,60.36,60.51,61.3,61.62
4.386,79.67,65.99,86.3,13.29,350.0,14.23,51.93,61.93,69.05,62.54,60.92,61.58,62.02
3.608,102.6,62.0,88.2,13.24,292.0,13.13,19.18,60.61,63.77,63.7,60.61,61.02,61.4
3.187,77.68,60.63,91.4,13.19,94.0,12.1,11.28,59.7,61.7,63.9,60.96,61.02,61.37
2.7119999999999997,127.9,60.61,90.8,13.34,43.0,11.12,16.08,60.04,61.19,63.91,61.43,61.2,61.47
2.9210000000000003,93.8,60.83,91.6,13.35,220.0,8.86,20.94,60.1,62.1,64.2,61.73,61.34,61.49
2.503,35.58,60.3,93.1,13.21,167.0,9.73,11.2,59.31,61.13,64.46,61.89,61.4,61.45
2.471,15.75,59.38,94.1,12.81,88.0,12.19,3.034,59.07,59.85,64.26,62.14,61.49,61.4
2.4819999999999998,5.183,58.9,94.6,12.67,117.0,9.42,0.4167,58.53,59.44,63.7,62.36,61.64,61.43
2.418,354.5,58.69,94.2,12.64,59.0,9.57,0.0044729999999999995,58.29,59.08,63.08,62.51,61.77,61.4
3.537,357.9,58.41,92.6,12.61,139.0,9.84,0.006193,57.93,58.96,62.46,62.44,61.84,61.37
3.353,356.4,58.05,92.7,12.59,257.0,9.48,0.007826999999999999,57.7,58.48,61.81,62.35,61.89,61.41
4.484,355.5,56.95,92.7,12.57,320.0,10.89,0.008945,55.76,58.13,61.1,62.19,61.87,61.4
5.273,359.9,56.08,88.1,12.55,318.0,11.14,0.007139,55.57,56.73,60.45,62.04,61.86,61.43
4.6339999999999995,358.6,56.21,89.5,12.52,22.0,9.8,0.002322,55.39,56.97,59.91,61.96,61.92,61.54
2.8480000000000003,20.94,56.96,85.0,12.5,123.0,11.14,0.004129,56.18,57.52,59.54,61.79,61.95,61.6
3.701,351.3,56.95,83.8,12.48,27.0,10.09,0.0035259999999999996,55.88,57.94,59.32,61.56,61.87,61.57
